Target139.10610.t0_FOR	Target139.10610.t0_REV
Target139.12899.t1_FOR	Target139.12899.t1_REV
Target139.12920.t0_FOR	Target139.12920.t0_REV
Target139.14418.t1_FOR	Target139.14418.t1_REV
Target139.1524.t0_FOR	Target139.1524.t0_REV
Target139.15778.t0_FOR	Target139.15778.t0_REV
Target139.18771.t1_FOR	Target139.18771.t1_REV
Target139.18827.t0_FOR	Target139.18827.t0_REV
Target139.3982.t1_FOR	Target139.3982.t1_REV
Target139.5834.t0_FOR	Target139.5834.t0_REV
Target139.8353.t1_FOR	Target139.8353.t1_REV
Target14.11075.t1_FOR	Target14.11075.t1_REV
Target14.12239.t0_FOR	Target14.12239.t0_REV
Target14.13246.t1_FOR	Target14.13246.t1_REV
Target14.14257.t0_FOR	Target14.14257.t0_REV
Target14.1562.t0_FOR	Target14.1562.t0_REV
Target14.15661.t1_FOR	Target14.15661.t1_REV
Target14.3424.t1_FOR	Target14.3424.t1_REV
Target14.4199.t0_FOR	Target14.4199.t0_REV
Target14.6624.t1_FOR	Target14.6624.t1_REV
Target14.8225.t0_FOR	Target14.8225.t0_REV
Target140.10013.t1_FOR	Target140.10013.t1_REV
Target140.11001.t0_FOR	Target140.11001.t0_REV
Target140.11100.t1_FOR	Target140.11100.t1_REV
Target140.12231.t1_FOR	Target140.12231.t1_REV
Target140.12655.t0_FOR	Target140.12655.t0_REV
Target140.2564.t0_FOR	Target140.2564.t0_REV
Target140.3608.t1_FOR	Target140.3608.t1_REV
Target140.5057.t0_FOR	Target140.5057.t0_REV
Target140.6914.t1_FOR	Target140.6914.t1_REV
Target140.793.t1_FOR	Target140.793.t1_REV
Target140.9033.t0_FOR	Target140.9033.t0_REV
Target141.10188.t0_FOR	Target141.10188.t0_REV
Target141.11759.t1_FOR	Target141.11759.t1_REV
Target141.2596.t1_FOR	Target141.2596.t1_REV
Target141.2758.t0_FOR	Target141.2758.t0_REV
Target141.3844.t1_FOR	Target141.3844.t1_REV
Target141.467.t0_FOR	Target141.467.t0_REV
Target141.6321.t0_FOR	Target141.6321.t0_REV
Target141.8700.t1_FOR	Target141.8700.t1_REV
Target141_m1_FOR	Target141_m1_REV
Target142.11264.t1_FOR	Target142.11264.t1_REV
Target142.14824.t0_FOR	Target142.14824.t0_REV
Target142.15944.t1_FOR	Target142.15944.t1_REV
Target142.1714.t0_FOR	Target142.1714.t0_REV
Target142.18446.t0_FOR	Target142.18446.t0_REV
Target142.2169.t1_FOR	Target142.2169.t1_REV
Target142.3182.t0_FOR	Target142.3182.t0_REV
Target142.5555.t1_FOR	Target142.5555.t1_REV
Target142.8935.t0_FOR	Target142.8935.t0_REV
Target143.10836.t1_FOR	Target143.10836.t1_REV
Target143.13555.t0_FOR	Target143.13555.t0_REV
Target143.14593.t1_FOR	Target143.14593.t1_REV
Target143.15697.t0_FOR	Target143.15697.t0_REV
Target143.1625.t0_FOR	Target143.1625.t0_REV
Target143.1791.t0_FOR	Target143.1791.t0_REV
Target143.3181.t1_FOR	Target143.3181.t1_REV
Target143.52.t1_FOR	Target143.52.t1_REV
Target143.5512.t0_FOR	Target143.5512.t0_REV
Target143.6389.t1_FOR	Target143.6389.t1_REV
Target143.9331.t0_FOR	Target143.9331.t0_REV
Target144.11971.t1_FOR	Target144.11971.t1_REV
Target144.12976.t0_FOR	Target144.12976.t0_REV
Target144.13989.t1_FOR	Target144.13989.t1_REV
